index,image_url,page_url,language,caption,img_content,has_image
30242,https://upload.wikimedia.org/wikipedia/commons/5/51/MontyVillargenne.jpg,https://id.wikipedia.org/wiki/Keluarga_Rothschild,id,"Château de Montvillargenne. Rumah keluarga Rothschild di Picardy, Prancis.",id_30242.jpg,1
1779273,https://upload.wikimedia.org/wikipedia/commons/9/98/Man_Ray_by_Wolleh.jpg,https://zh.wikipedia.org/wiki/%E6%9B%BC%C2%B7%E9%9B%B7,zh,曼·雷，卢瑟·瓦力摄于巴黎，1975年,zh_1779273.jpg,1
963462,http://upload.wikimedia.org/wikipedia/commons/0/0a/Map_commune_FR_insee_code_51619.png,https://zh.wikipedia.org/wiki/%E6%97%A7%E5%BD%93%E7%9A%AE%E5%9F%83%E5%B0%94,zh,市镇详图,zh_963462.jpg,1
273326,http://upload.wikimedia.org/wikipedia/commons/1/14/Hungary_pecs_-_vasarely0.jpg,https://zh.wikipedia.org/zh-cn/%E5%A5%A5%E6%99%AE%E8%89%BA%E6%9C%AF,zh,欧普艺术Victor Vasarely,zh_273326.jpg,1
769775,https://upload.wikimedia.org/wikipedia/commons/2/2f/Former_Xinxing_Edible_Oil_Shop_03_2012-09.JPG,https://zh.wikipedia.org/wiki/%E6%96%B0%E5%85%B4%E6%B2%B9%E5%BA%97,zh,,zh_769775.jpg,1
2607336,https://upload.wikimedia.org/wikipedia/commons/9/9b/Jinzo_Naruse.JPG,https://zh.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E5%A5%B3%E5%AD%90%E5%A4%A7%E5%AD%A6,zh,创立主要 成瀬仁蔵(在任1901~1919年),zh_2607336.jpg,1
2734368,https://upload.wikimedia.org/wikipedia/commons/a/a3/Li-Wu_Power_Plant01.jpg,https://zh.wikipedia.org/zh-sg/%E6%9D%B1%E9%83%A8%E7%99%BC%E9%9B%BB%E5%BB%A0%E7%AB%8B%E9%9C%A7%E6%A9%9F%E7%B5%84,zh,,zh_2734368.jpg,1
2861963,https://upload.wikimedia.org/wikipedia/commons/a/a0/Prophet_Seth_Name.svg,https://id.wikipedia.org/wiki/Set,id,Kaligrafi Syits 'alaihis-salam,id_2861963.jpg,1
797915,https://upload.wikimedia.org/wikipedia/commons/1/1e/Wolfgang-amadeus-mozart_1.jpg,https://ta.wikipedia.org/wiki/%E0%AE%B5%E0%AF%8A%E0%AE%B2%E0%AF%8D%E0%AE%83%E0%AE%AA%E0%AF%8D%E0%AE%95%E0%AF%87%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AF%8D_%E0%AE%85%E0%AE%AE%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AF%81%E0%AE%B8%E0%AF%8D_%E0%AE%AE%E0%AF%8B%E0%AE%9F%E0%AF%8D%E0%AE%9A%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%9F%E0%AF%8D,ta,மோட்சார்ட் ஏறத்தாழ. 1780,ta_797915.jpg,1
772297,http://upload.wikimedia.org/wikipedia/commons/d/df/Ibn_Chaldun.JPG,https://tr.wikipedia.org/wiki/%C4%B0bn-i_Haldun,tr,Yazarın kendi el yazması başsayfası: Lua hatası 62 satırında Modül:Dil: attempt to index field '?' (a nil value).,tr_772297.jpg,1
886976,https://upload.wikimedia.org/wikipedia/commons/1/13/Felipe_Massa_Ferrari_Bahrain_2010_GP.jpg,https://tr.wikipedia.org/wiki/Ferrari_F10,tr,,tr_886976.jpg,1
1299923,https://upload.wikimedia.org/wikipedia/commons/b/bf/140426_Yuushien_Matsue_Shimane_pref_Japan05s3.jpg,https://zh.wikipedia.org/zh-sg/%E7%94%B1%E5%BF%97%E5%9C%92,zh,,zh_1299923.jpg,1
950831,https://upload.wikimedia.org/wikipedia/commons/a/aa/Wuxi_Qingming_Qiao_2015.04.24_18-16-11.jpg,https://zh.wikipedia.org/wiki/%E6%B8%85%E5%90%8D%E6%A1%A5%E5%8F%A4%E8%BF%90%E6%B2%B3%E8%A1%97%E5%8C%BA,zh,,zh_950831.jpg,1
925008,https://upload.wikimedia.org/wikipedia/commons/8/87/Tordesilos_03.JPG,https://zh.wikipedia.org/wiki/%E6%89%98%E5%B0%94%E5%BE%B7%E8%A5%BF%E6%B4%9B%E6%96%AF,zh,,zh_925008.jpg,1
709757,https://upload.wikimedia.org/wikipedia/commons/5/54/20130103_Alley_Oop_%282%29.jpg,https://id.wikipedia.org/wiki/Alley-oop_(basket),id,,id_709757.jpg,1
2399188,https://upload.wikimedia.org/wikipedia/commons/6/64/JRW_kinki-L.svg,https://zh.wikipedia.org/zh-sg/%E7%B6%BE%E9%83%A8%E8%BB%8A%E7%AB%99,zh,起点,zh_2399188.jpg,1
2742080,https://upload.wikimedia.org/wikipedia/commons/d/de/Stavropol_centre.JPG,https://sw.wikipedia.org/wiki/Stavropol,sw,Stavropol,sw_2742080.jpg,1
2749185,https://upload.wikimedia.org/wikipedia/commons/0/05/Rhinogobius_giurinus%28Hamamatsu%2CShizuoka%2CJapan%29.jpg,https://zh.wikipedia.org/wiki/%E5%AD%90%E9%99%B5%E5%90%BB%E9%B0%95%E8%99%8E%E9%AD%9A,zh,,zh_2749185.jpg,1
1553905,https://upload.wikimedia.org/wikipedia/commons/7/78/Lewis_Tewanima_2162665005_0effc1f895_o.jpg,https://zh.wikipedia.org/wiki/%E9%9C%8D%E7%9A%AE%E6%97%8F,zh,"刘易斯·特瓦尼马, 奥林匹克运动员, 1911年",zh_1553905.jpg,1
2663935,https://upload.wikimedia.org/wikipedia/commons/2/26/GCMS_open.jpg,https://id.wikipedia.org/wiki/Kualitas_air,id,Spektrometer kromatografi gas dapat digunakan untuk mengukur pestisida dan polutan organik lainnya,id_2663935.jpg,1
1730622,https://upload.wikimedia.org/wikipedia/commons/8/8f/Mount_Chanam_07.JPG,https://zh.wikipedia.org/wiki/%E6%9C%9D%E9%AE%AE%E5%8D%8A%E5%B3%B6%E5%9F%8E%E5%B8%82%E4%BA%BA%E5%8F%A3%E5%88%97%E8%A1%A8,zh,,zh_1730622.jpg,1
2313806,https://upload.wikimedia.org/wikipedia/commons/7/75/Korea_rivers.svg,https://zh.wikipedia.org/wiki/%E9%9F%A9%E5%9B%BD%E6%B2%B3%E6%B5%81%E5%88%97%E8%A1%A8,zh,韩半岛主要河流,zh_2313806.jpg,1
3011115,http://upload.wikimedia.org/wikipedia/commons/e/e2/Ernst-Grube-Stadion_Magdeburg.JPG,https://tr.wikipedia.org/wiki/Ernst_Grube_Stadyumu,tr,,tr_3011115.jpg,1
1106307,https://upload.wikimedia.org/wikipedia/commons/5/5a/BL-LOGO-white-Background.jpg,https://zh.wikipedia.org/wiki/Blacklane,zh,,zh_1106307.jpg,1
560570,https://upload.wikimedia.org/wikipedia/commons/f/f2/Halle_aux_grains_de_blois.jpg,https://zh.wikipedia.org/wiki/%E8%B0%B7%E7%89%A9%E5%A4%A7%E5%8E%85,zh,谷物大厅,zh_560570.jpg,1
3546862,https://upload.wikimedia.org/wikipedia/commons/3/35/IXEngineering-psprunway.jpg,https://zh.wikipedia.org/wiki/%E9%A9%AC%E6%96%AF%E7%89%B9%E9%87%8C%E8%B5%AB%E7%89%B9%E4%BA%9A%E7%90%9B%E6%9C%BA%E5%9C%BA,zh,第九工程部队修建高级着陆地,zh_3546862.jpg,1
1178965,https://upload.wikimedia.org/wikipedia/commons/1/1a/Gunung_Tinoring.jpg,"https://id.wikipedia.org/wiki/Ke%27pe_Tinoring,_Mengkendek,_Tana_Toraja",id,Gunung Tinoring,id_1178965.jpg,1
2800146,https://upload.wikimedia.org/wikipedia/commons/8/84/Kit_1981_track.png,https://zh.wikipedia.org/zh-cn/1981%E5%B9%B4%E5%A4%AA%E5%B9%B3%E6%B4%8B%E9%A2%B1%E9%A2%A8%E5%AD%A3,zh,,zh_2800146.jpg,1
2174415,https://upload.wikimedia.org/wikipedia/commons/4/41/M16_and_AK-47_length_comparison.png,https://zh.wikipedia.org/zh-cn/%E5%8D%A1%E6%8B%89%E4%BB%80%E5%B0%BC%E7%A7%91%E5%A4%AB%E8%87%AA%E5%8B%95%E6%AD%A5%E6%A7%8D,zh,,zh_2174415.jpg,1
2355786,https://upload.wikimedia.org/wikipedia/commons/2/23/Luis_Antonio_Tagle_in_2016.png,https://id.wikipedia.org/wiki/Keuskupan_Agung_Manila,id,,id_2355786.jpg,1
1726180,https://upload.wikimedia.org/wikipedia/commons/e/ec/Saitama_city_montage.jpg,"https://sw.wikipedia.org/wiki/Saitama,_Saitama",sw,Mji wa  Saitama,sw_1726180.jpg,1
391404,https://upload.wikimedia.org/wikipedia/commons/1/17/Vincent_D%27Onofrio_by_David_Shankbone.jpg,https://id.wikipedia.org/wiki/Vincent_D%27Onofrio,id,Vincent D'Onofrio,id_391404.jpg,1
1573060,https://upload.wikimedia.org/wikipedia/commons/4/4a/Concourse_of_L8_Zhushikou_Station_%2820181231102540%29.jpg,https://zh.wikipedia.org/wiki/%E7%8F%A0%E5%B8%82%E5%8F%A3%E7%AB%99,zh,8号线车站大厅,zh_1573060.jpg,1
1397574,https://upload.wikimedia.org/wikipedia/commons/7/73/Lax_bradley_at_2am.jpg,https://id.wikipedia.org/wiki/Bandar_Udara_Internasional_Los_Angeles,id,Tom Bradley International Terminal at early morning,id_1397574.jpg,1
392356,https://upload.wikimedia.org/wikipedia/commons/d/d3/Ruth_Wilson_May_2015_%28cropped%29.jpg,https://tr.wikipedia.org/wiki/Ruth_Wilson,tr,Ruth Wilson Mayıs 2015'te,tr_392356.jpg,1
2067219,https://upload.wikimedia.org/wikipedia/commons/2/25/Bruce_Lee_-Kung_Fu%E2%80%A7Art%E2%80%A7Life_Exhibition_at_the_Hong_Kong_Heritage_Museum_%28Hong_Kong%29.jpg,https://zh.wikipedia.org/zh-my/%E9%A6%99%E6%B8%AF%E6%96%87%E5%8C%96%E5%8D%9A%E7%89%A9%E9%A4%A8,zh,“武‧艺‧人生──李小龙”,zh_2067219.jpg,1
762135,https://upload.wikimedia.org/wikipedia/commons/8/89/Coat_of_arms_of_Novomichurinsk_%28Ryazan_oblast%29.png,https://tr.wikipedia.org/wiki/Novomi%C3%A7urinsk,tr,,tr_762135.jpg,1
3425224,http://upload.wikimedia.org/wikipedia/commons/c/c2/Map_commune_FR_insee_code_59118.png,https://zh.wikipedia.org/wiki/%E6%AF%94%E8%A5%BF%E5%B0%BC,zh,市镇详图,zh_3425224.jpg,1
2881756,https://upload.wikimedia.org/wikipedia/commons/c/ce/Umeda_Hankyu.JPG,https://zh.wikipedia.org/wiki/%E9%98%AA%E6%80%A5%E7%99%BE%E8%B2%A8%E5%BA%97,zh,阪急百货店梅田本店（2009年9月9日）,zh_2881756.jpg,1
3487147,https://upload.wikimedia.org/wikipedia/commons/a/af/%E5%A4%A9%E6%B4%A5%E5%B8%82%E7%94%B5%E5%AD%90%E8%AE%A1%E7%AE%97%E6%9C%BA%E7%A0%94%E7%A9%B6%E6%89%80.jpg,https://zh.wikipedia.org/wiki/%E5%A4%A9%E6%B4%A5%E5%B8%82%E7%94%B5%E5%AD%90%E8%AE%A1%E7%AE%97%E6%9C%BA%E7%A0%94%E7%A9%B6%E6%89%80,zh,天津市电子计算机研究所正门,zh_3487147.jpg,1
3276570,https://upload.wikimedia.org/wikipedia/commons/7/78/Leominster%2C_Mass._%282674542750%29.jpg,https://zh.wikipedia.org/wiki/%E8%90%8A%E5%A7%86%E6%96%AF%E7%89%B9_(%E9%A6%AC%E8%96%A9%E8%AB%B8%E5%A1%9E%E5%B7%9E),zh,1886年的莱姆斯特,zh_3276570.jpg,1
3164225,https://upload.wikimedia.org/wikipedia/commons/5/54/Lake_Albert_Channel%2C_Uganda_%2815192094327%29.jpg,https://sw.wikipedia.org/wiki/Ziwa_Albert_(Afrika),sw,chaneli mojawapo ya ziwa albert,sw_3164225.jpg,1
3296517,https://upload.wikimedia.org/wikipedia/commons/8/8a/Boh_Tan.jpg,https://tr.wikipedia.org/wiki/Antakya_Ku%C5%9Fatmas%C4%B1,tr,Beomondo ve yegeni Tancerd: Bir 14. yüzyıl yazma eserdeki  resim,tr_3296517.jpg,1
1342468,https://upload.wikimedia.org/wikipedia/commons/8/81/Snouck2.jpg,https://id.wikipedia.org/wiki/Christiaan_Snouck_Hurgronje,id,Makam Snouck Hurgronje di Leiden,id_1342468.jpg,1
3334851,https://upload.wikimedia.org/wikipedia/commons/4/45/Washington_Sycip.jpg,https://tr.wikipedia.org/wiki/Washington_SyCip,tr,,tr_3334851.jpg,1
187422,https://upload.wikimedia.org/wikipedia/commons/0/06/Bozcaadal%C4%B1_Hasan_H%C3%BCsn%C3%BC_Pa%C5%9Fa_-_Bahriye_Naz%C4%B1rl%C4%B1%C4%9F%C4%B1.jpg,https://tr.wikipedia.org/wiki/Ertu%C4%9Frul_(f%C4%B1rkateyn),tr,"Bozcaadalı Hasan Hüsnü Paşa, Dönemin Bahriye Nazırı",tr_187422.jpg,1
738535,https://upload.wikimedia.org/wikipedia/commons/0/01/Becvar_crater_AS17-150-23073.jpg,https://zh.wikipedia.org/wiki/%E8%B4%9D%E5%A5%87%E7%93%A6%E6%97%A5%E7%8E%AF%E5%BD%A2%E5%B1%B1,zh,"阿波罗17号拍摄的贝奇瓦日环形山北向斜视图，上方为卫星坑""贝奇瓦日X""、左下是""贝奇瓦日Q""，而""贝奇瓦日J""部分出现在右下方。",zh_738535.jpg,1
1498287,https://upload.wikimedia.org/wikipedia/commons/2/2e/ValeryNepomnyaschy.jpg,https://id.wikipedia.org/wiki/Valery_Nepomnyashchy,id,,id_1498287.jpg,1
1099744,https://upload.wikimedia.org/wikipedia/commons/8/8f/Hong_Kong%3B_Douglas_Castle%2C_Pokfulum._Photograph._Wellcome_V0037362.jpg,https://zh.wikipedia.org/zh-sg/%E9%A6%99%E6%B8%AF%E5%A4%A7%E5%AD%B8%E5%A4%A7%E5%AD%B8%E5%A0%82,zh,德格拉斯堡,zh_1099744.jpg,1
298279,https://upload.wikimedia.org/wikipedia/commons/d/da/Katia_2017_track.png,https://zh.wikipedia.org/zh-cn/%E9%A2%B6%E9%A2%A8%E5%8D%A1%E8%92%82%E5%A9%AD_(2017%E5%B9%B4),zh,根据萨菲尔-辛普森飓风等级的强度绘制的风暴路径图,zh_298279.jpg,1
543796,http://upload.wikimedia.org/wikipedia/commons/4/4b/4._Mehmet.jpg,https://id.wikipedia.org/wiki/Daftar_khalifah,id,,id_543796.jpg,1
